kg,local_id,ns,country,year,name,lon,lat,activity
92.2,9479.FACILITY,FR.CAED,FR,2014,SENERVAL,7.78884,48.51839999946735,5(b)
92.4,200291001.FACILITY,IT.CAED,IT,2017,Iren Energia S.p.A.,8.728333,45.52694399946328,1(c)
92.5,000531001.FACILITY,IT.CAED,IT,2018,TIRRENO POWER S.p.A.,11.7654,42.12309999946572,1(c)
92.7,010141001.FACILITY,IT.CAED,IT,2022,Centrale termoelettrica di Montalto di Castro,11.5338,42.35889999946531,1(c)
94.0,000115066.FACILITY,NL.RIVM,NL,2011,Trespa International BV,5.651570000000001,51.2408299994761,4(a)
94.0,73015806,https://registry.gdi-de.org/id/de.sn.sax4inspire.pf,DE,2011,Druckguss Heidenau GmbH Sitz Dohna,13.853244937073,50.96601831971693,2(e)(ii)
94.0,EW_EA-3226.FACILITY,UK.CAED,GB,2008,"Philips Electronics Uk Ltd, Philips Semiconductors",-2.1423093,53.37661999948626,4(b)
94.8,070461001.FACILITY,IT.CAED,IT,2014,Centrale Teromoelettrica di Fiume Santo,8.299166,40.85166599946857,1(c)
95.0,P0207.FACILITY,IE.CAED,IE,2017,Intel Ireland Limited,-6.513515000000001,53.37514599948624,9(c)
95.4,EW_EA-1433.FACILITY,UK.CAED,GB,2015,Immingham Chp Power Station,-0.23947463,53.63656099948769,1(c)
95.7,000531001.FACILITY,IT.CAED,IT,2011,Centrale Termoelettrica Torrevaldaliga Sud,11.768333,42.12111099946572,1(c)
96.0,CZ14070032.FACILITY,CZ.MZP.B642,CZ,2013,ABB s.r.o. PPMV Brno,16.6033333333333,49.15361111058006,4(a)(viii)
96.5,vl01849940000190.FACILITY,BE.EEA,BE,2007,AMI SEMICONDUCTOR BELGIUM,3.587621999999999,50.85579399947456,2(f)
97.0,000000347.Facility,CH.CAED,CH,2008,Services industriels de Genève - Activité DiE,6.1041,46.20669999946369,1(c)
97.5,4109.FACILITY,FR.CAED,FR,2017,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,0.147777777777778,49.47500999946988,1(c)
97.6,4109.FACILITY,FR.CAED,FR,2009,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,0.147777777777778,49.47500999946988,1(c)
99.2,vl01849940000190.FACILITY,BE.EEA,BE,2009,ON SEMICONDUCTOR BELGIUM,3.587621999999999,50.85579399947456,2(f)
100.0,9988.FACILITY,FR.CAED,FR,2018,JINJIANG SAM,2.22723,44.5590999994632,2(e)(ii)
100.0,vl01849940000190.FACILITY,BE.EEA,BE,2013,ON SEMICONDUCTOR BELGIUM,3.5959516,50.85873999947458,2(f)
102.0,9988.FACILITY,FR.CAED,FR,2017,JINJIANG SAM,2.22723,44.5590999994632,2(e)(ii)
103.0,4109.FACILITY,FR.CAED,FR,2010,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,0.147777777777778,49.47500999946988,1(c)
103.0,461001003.FACILITY,IT.CAED,IT,2016,ENIPOWER MANTOVA - STABILIMENTO DI MANTOVA,10.834865,45.14957199946317,1(c)
103.0,vl01849940000190.FACILITY,BE.EEA,BE,2008,ON SEMICONDUCTOR BELGIUM,3.587621999999999,50.85579399947456,2(f)
104.0,000010089.FACILITY,NL.RIVM,NL,2018,Prysmian Netherlands B.V.,4.36453,51.99662999947936,2(e)(ii)
104.0,000010089.FACILITY,NL.RIVM,NL,2019,Prysmian Netherlands B.V.,4.36453,51.99662999947936,2(e)(ii)
104.0,200000033.Facility,UK.SEPA,GB,2007,Raytheon Chemical Plant,-3.17004,56.19830999950403,4(b)(v)
104.0,200000033.Facility,UK.SEPA,GB,2008,Raytheon Chemical Plant,-3.17004,56.19830999950403,4(b)(v)
104.0,EW_EA-3226.FACILITY,UK.CAED,GB,2012,Philips Electronics Uk Ltd,-2.1423093,53.37661999948626,4(b)
105.0,10743.FACILITY,FR.CAED,FR,2020,ALVANCE ALUMINIUM DUNKERQUE SAS,2.22,51.00109999947513,2(e)(i)
105.0,481231001.FACILITY,IT.CAED,IT,2023,ENEL PRODUZIONE SPA - CENTRALE A CICLO COMBINATO DI PORTO CORSINI,12.2661,44.4844,1(c)
106.0,010141001.FACILITY,IT.CAED,IT,2017,Enel Produzione S.p.A.,11.541666,42.3638879994653,1(c)
108.0,003537000.FACILITY,ES.CAED,ES,2015,CENTRAL TÉRMICA LITORAL DE ALMERÍA,-1.903682,36.98018699948364,1(c)
108.0,670512002.FACILITY,IT.CAED,IT,2012,MARSICA INNOVATION & TECHNOLOGY S.R.L.,13.425833,41.99638799946595,1(c)
108.0,EW_EA-3226.FACILITY,UK.CAED,GB,2016,"Philips Electronics Uk Ltd, Philips Semiconductors",-2.1423093,53.37661999948626,5(c)
109.28,191361001.FACILITY,IT.CAED,IT,2021,"Enel Produzione S.P.A. Centrale della Spezia ""Eugenio Montale""",9.872200000000001,44.11109999946338,1(c)
111.0,pf-450-50901056-00000000,https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/,DE,2018,Rheinfelden Alloys GmbH & Co. KG,7.798815848593729,47.56706026029629,2(e)(ii)
112.0,vl01849940000190.FACILITY,BE.EEA,BE,2015,ON SEMICONDUCTOR BELGIUM,3.5959516,50.85873999947458,2(f)
113.0,000531001.FACILITY,IT.CAED,IT,2010,Centrale Termoelettrica Torrevaldaliga Sud,11.768333,42.12111099946572,1(c)
113.0,1900.FACILITY,FR.CAED,FR,2024,PRYSMIAN CABLES ET SYSTEMES FRANCE,3.28,48.16,2(e)(ii)
114.15,191361001.FACILITY,IT.CAED,IT,2020,"Enel Produzione S.P.A. Centrale della Spezia ""Eugenio Montale""",9.872200000000001,44.11109999946338,1(c)
117.0,4109.FACILITY,FR.CAED,FR,2012,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,0.147777777777778,49.47500999946988,1(c)
118.0,BE.VL.000000031.FACILITY,https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/,BE,2020,3M BELGIUM,4.329063929399999,51.23542087547606,4(a)(ii)
118.33,P0207.FACILITY,IE.CAED,IE,2024,Intel Ireland Limited,-6.513515,53.375146,9(c)
119.0,481231001.FACILITY,IT.CAED,IT,2008,CENTRALE A CICLO COMBINATO DI PORTO CORSINI,12.266111,44.48444399946322,1(c)
120.0,P0052_04A.FACILITY,UK.CAED,GB,2007,Lafarge Cement (Ireland) Ltd,-6.766099999999999,54.61779999949347,3(c)
121.0,481231001.FACILITY,IT.CAED,IT,2007,CENTRALE A CICLO COMBINATO DI PORTO CORSINI,12.266111,44.48444399946322,1(c)
123.0,10743.FACILITY,FR.CAED,FR,2021,ALVANCE ALUMINIUM DUNKERQUE SAS,2.22,51.00109999947513,2(e)(i)
123.0,EW_EA-12824.FACILITY,UK.CAED,GB,2018,Langage Energy Centre EPR/AP3633BL,-4.0102612,50.38775799947284,1(c)
124.0,2007000906.FACILITY,IT.EEA,IT,2008,Enel Produzione S.p.A. - Centrale di Piombino,10.604167,42.95555599946443,1(c)
125.0,460281001.FACILITY,IT.CAED,IT,2013,CENTRALE TERMOELETTRICA SERMIDE,11.268611,44.98305499946316,1(c)
